time	Temp
0	24.829
1	28.987
2	31.703
3	33.832
4	35.642
5	37.244
6	38.696
7	40.034
8	41.282
9	42.455
10	43.565
11	44.622
12	45.633
13	46.603
14	47.538
15	48.441
16	49.315
17	50.164
18	50.99
19	51.796
20	52.583
21	53.354
22	54.109
23	54.85
24	55.579
25	56.297
26	57.005
27	57.703
28	58.393
29	59.075
30	59.75
31	60.419
32	61.083
33	61.741
34	62.394
35	63.043
36	63.687
37	64.329
38	64.967
39	65.602
40	66.234
41	66.863
42	67.491
43	68.116
44	68.739
45	69.36
46	69.98
47	70.598
48	71.215
49	71.831
50	72.445
51	73.058
52	73.67
53	74.281
54	74.891
55	75.5
56	76.109
57	76.717
58	77.324
59	77.93
60	78.535
61	79.14
62	79.745
63	80.349
64	80.952
65	81.555
66	82.157
67	82.759
68	83.36
69	83.961
70	84.562
71	85.162
72	85.761
73	86.36
74	86.959
75	87.558
76	88.156
77	88.753
78	89.351
79	89.948
80	90.544
81	91.14
82	91.736
83	92.332
84	92.927
85	93.522
86	94.116
87	94.71
88	95.304
89	95.898
90	96.491
91	97.083
92	97.676
93	98.268
94	98.86
95	99.451
96	100.04
97	100.63
98	101.22
99	101.81
100	102.4
