time	Temp
0	32.717
1	32.72
2	32.818
3	33.115
4	33.577
5	34.149
6	34.792
7	35.479
8	36.193
9	36.923
10	37.661
11	38.404
12	39.149
13	39.893
14	40.635
15	41.375
16	42.112
17	42.847
18	43.579
19	44.308
20	45.034
21	45.758
22	46.479
23	47.198
24	47.915
25	48.63
26	49.342
27	50.053
28	50.762
29	51.47
30	52.176
31	52.88
32	53.583
33	54.284
34	54.984
35	55.683
36	56.38
37	57.076
38	57.771
39	58.465
40	59.158
41	59.85
42	60.541
43	61.23
44	61.919
45	62.606
46	63.293
47	63.979
48	64.663
49	65.347
50	66.03
51	66.712
52	67.393
53	68.073
54	68.752
55	69.43
56	70.108
57	70.785
58	71.46
59	72.135
60	72.809
61	73.482
62	74.155
63	74.826
64	75.497
65	76.167
66	76.836
67	77.504
68	78.171
69	78.838
70	79.503
71	80.168
72	80.832
73	81.496
74	82.158
75	82.82
76	83.48
77	84.14
78	84.8
79	85.458
80	86.116
81	86.773
82	87.429
83	88.084
84	88.738
85	89.392
86	90.045
87	90.697
88	91.348
89	91.998
90	92.648
91	93.297
92	93.945
93	94.592
94	95.239
95	95.885
96	96.53
97	97.174
98	97.817
99	98.46
100	99.102
