time	Temp
0	13.179
1	13.183
2	13.253
3	13.371
4	13.512
5	13.661
6	13.813
7	13.964
8	14.114
9	14.262
10	14.406
11	14.548
12	14.687
13	14.823
14	14.957
15	15.088
16	15.217
17	15.344
18	15.469
19	15.592
20	15.713
21	15.833
22	15.951
23	16.068
24	16.183
25	16.298
26	16.411
27	16.523
28	16.635
29	16.745
30	16.854
31	16.963
32	17.071
33	17.178
34	17.284
35	17.39
36	17.494
37	17.599
38	17.702
39	17.805
40	17.908
41	18.009
42	18.111
43	18.211
44	18.312
45	18.411
46	18.51
47	18.609
48	18.707
49	18.804
50	18.901
51	18.998
52	19.094
53	19.19
54	19.285
55	19.38
56	19.474
57	19.568
58	19.661
59	19.754
60	19.847
61	19.939
62	20.03
63	20.122
64	20.212
65	20.303
66	20.393
67	20.482
68	20.571
69	20.66
70	20.748
71	20.836
72	20.924
73	21.011
74	21.098
75	21.184
76	21.27
77	21.355
78	21.44
79	21.525
80	21.609
81	21.693
82	21.777
83	21.86
84	21.943
85	22.025
86	22.107
87	22.189
88	22.27
89	22.351
90	22.432
91	22.512
92	22.592
93	22.671
94	22.75
95	22.829
96	22.907
97	22.986
98	23.063
99	23.141
100	23.217
