time	Temp
0	13.624
1	13.624
2	13.626
3	13.643
4	13.691
5	13.776
6	13.896
7	14.047
8	14.224
9	14.423
10	14.641
11	14.875
12	15.123
13	15.382
14	15.652
15	15.932
16	16.219
17	16.513
18	16.814
19	17.12
20	17.431
21	17.746
22	18.065
23	18.387
24	18.712
25	19.039
26	19.369
27	19.7
28	20.033
29	20.368
30	20.704
31	21.04
32	21.378
33	21.716
34	22.054
35	22.393
36	22.732
37	23.071
38	23.41
39	23.749
40	24.088
41	24.427
42	24.766
43	25.104
44	25.442
45	25.779
46	26.117
47	26.453
48	26.789
49	27.125
50	27.46
51	27.794
52	28.128
53	28.461
54	28.794
55	29.126
56	29.457
57	29.788
58	30.118
59	30.447
60	30.775
61	31.103
62	31.43
63	31.757
64	32.082
65	32.407
66	32.731
67	33.055
68	33.377
69	33.699
70	34.021
71	34.341
72	34.661
73	34.98
74	35.298
75	35.616
76	35.932
77	36.248
78	36.564
79	36.878
80	37.192
81	37.505
82	37.817
83	38.129
84	38.44
85	38.75
86	39.059
87	39.368
88	39.676
89	39.983
90	40.29
91	40.595
92	40.9
93	41.205
94	41.508
95	41.811
96	42.113
97	42.414
98	42.715
99	43.015
100	43.314
