time	Temp
0	15.778
1	15.778
2	15.78
3	15.796
4	15.85
5	15.956
6	16.116
7	16.326
8	16.581
9	16.877
10	17.207
11	17.569
12	17.959
13	18.373
14	18.809
15	19.264
16	19.736
17	20.224
18	20.726
19	21.239
20	21.764
21	22.298
22	22.841
23	23.392
24	23.949
25	24.512
26	25.08
27	25.654
28	26.231
29	26.812
30	27.395
31	27.982
32	28.571
33	29.161
34	29.754
35	30.348
36	30.943
37	31.538
38	32.135
39	32.732
40	33.329
41	33.927
42	34.524
43	35.122
44	35.719
45	36.316
46	36.913
47	37.509
48	38.105
49	38.7
50	39.295
51	39.889
52	40.482
53	41.075
54	41.666
55	42.257
56	42.847
57	43.436
58	44.024
59	44.612
60	45.198
61	45.783
62	46.367
63	46.951
64	47.533
65	48.114
66	48.695
67	49.274
68	49.852
69	50.429
70	51.005
71	51.58
72	52.154
73	52.727
74	53.298
75	53.869
76	54.439
77	55.007
78	55.575
79	56.141
80	56.706
81	57.27
82	57.834
83	58.396
84	58.957
85	59.516
86	60.075
87	60.633
88	61.189
89	61.745
90	62.299
91	62.853
92	63.405
93	63.956
94	64.507
95	65.056
96	65.604
97	66.151
98	66.697
99	67.241
100	67.785
