time	Temp
0	25.766
1	25.764
2	25.767
3	25.79
4	25.842
5	25.925
6	26.033
7	26.162
8	26.307
9	26.465
10	26.633
11	26.81
12	26.993
13	27.182
14	27.377
15	27.575
16	27.777
17	27.982
18	28.19
19	28.4
20	28.612
21	28.827
22	29.043
23	29.26
24	29.479
25	29.699
26	29.92
27	30.141
28	30.364
29	30.587
30	30.811
31	31.035
32	31.26
33	31.485
34	31.71
35	31.936
36	32.161
37	32.387
38	32.613
39	32.839
40	33.065
41	33.291
42	33.517
43	33.743
44	33.969
45	34.194
46	34.42
47	34.645
48	34.871
49	35.096
50	35.321
51	35.546
52	35.77
53	35.994
54	36.219
55	36.443
56	36.666
57	36.89
58	37.113
59	37.336
60	37.559
61	37.782
62	38.004
63	38.226
64	38.448
65	38.669
66	38.891
67	39.112
68	39.332
69	39.553
70	39.773
71	39.993
72	40.213
73	40.432
74	40.651
75	40.87
76	41.089
77	41.307
78	41.525
79	41.743
80	41.961
81	42.178
82	42.395
83	42.612
84	42.828
85	43.045
86	43.26
87	43.476
88	43.691
89	43.907
90	44.121
91	44.336
92	44.55
93	44.764
94	44.978
95	45.192
96	45.405
97	45.618
98	45.831
99	46.043
100	46.255
