time	Temp
0	17.023
1	17.407
2	18.557
3	19.832
4	21.083
5	22.281
6	23.421
7	24.509
8	25.549
9	26.546
10	27.503
11	28.426
12	29.318
13	30.182
14	31.021
15	31.836
16	32.631
17	33.407
18	34.166
19	34.91
20	35.639
21	36.355
22	37.06
23	37.754
24	38.438
25	39.113
26	39.78
27	40.439
28	41.091
29	41.737
30	42.377
31	43.011
32	43.64
33	44.264
34	44.883
35	45.499
36	46.11
37	46.718
38	47.323
39	47.924
40	48.522
41	49.117
42	49.709
43	50.298
44	50.885
45	51.47
46	52.052
47	52.631
48	53.209
49	53.784
50	54.358
51	54.929
52	55.498
53	56.066
54	56.631
55	57.195
56	57.757
57	58.317
58	58.876
59	59.432
60	59.987
61	60.541
62	61.092
63	61.643
64	62.191
65	62.738
66	63.283
67	63.827
68	64.369
69	64.91
70	65.449
71	65.987
72	66.523
73	67.058
74	67.591
75	68.122
76	68.653
77	69.181
78	69.709
79	70.235
80	70.759
81	71.282
82	71.804
83	72.324
84	72.842
85	73.36
86	73.876
87	74.39
88	74.903
89	75.415
90	75.925
91	76.434
92	76.942
93	77.448
94	77.953
95	78.456
96	78.958
97	79.459
98	79.958
99	80.456
100	80.953
