time	Temp
0	23.196
1	23.624
2	24.412
3	25.168
4	25.867
5	26.514
6	27.118
7	27.686
8	28.223
9	28.733
10	29.221
11	29.688
12	30.137
13	30.571
14	30.991
15	31.397
16	31.793
17	32.178
18	32.553
19	32.92
20	33.279
21	33.631
22	33.976
23	34.315
24	34.648
25	34.976
26	35.299
27	35.618
28	35.932
29	36.243
30	36.549
31	36.852
32	37.152
33	37.449
34	37.743
35	38.033
36	38.321
37	38.607
38	38.89
39	39.17
40	39.448
41	39.724
42	39.998
43	40.269
44	40.538
45	40.806
46	41.071
47	41.334
48	41.596
49	41.855
50	42.113
51	42.369
52	42.623
53	42.876
54	43.126
55	43.375
56	43.623
57	43.868
58	44.112
59	44.355
60	44.595
61	44.834
62	45.072
63	45.308
64	45.542
65	45.775
66	46.007
67	46.237
68	46.465
69	46.692
70	46.917
71	47.141
72	47.364
73	47.585
74	47.805
75	48.023
76	48.24
77	48.455
78	48.669
79	48.882
80	49.093
81	49.303
82	49.512
83	49.719
84	49.925
85	50.129
86	50.333
87	50.535
88	50.735
89	50.935
90	51.133
91	51.33
92	51.525
93	51.72
94	51.913
95	52.105
96	52.295
97	52.485
98	52.673
99	52.86
100	53.046
