time	Temp
0	8.4799
1	8.4804
2	8.4852
3	8.5208
4	8.6083
5	8.7498
6	8.9384
7	9.1658
8	9.4243
9	9.7077
10	10.011
11	10.331
12	10.664
13	11.008
14	11.361
15	11.722
16	12.089
17	12.46
18	12.837
19	13.216
20	13.598
21	13.982
22	14.368
23	14.755
24	15.142
25	15.53
26	15.918
27	16.305
28	16.692
29	17.078
30	17.463
31	17.847
32	18.229
33	18.61
34	18.99
35	19.368
36	19.744
37	20.118
38	20.491
39	20.861
40	21.23
41	21.596
42	21.961
43	22.323
44	22.683
45	23.041
46	23.397
47	23.751
48	24.102
49	24.451
50	24.798
51	25.143
52	25.486
53	25.827
54	26.165
55	26.501
56	26.835
57	27.167
58	27.496
59	27.824
60	28.149
61	28.472
62	28.793
63	29.112
64	29.428
65	29.743
66	30.055
67	30.366
68	30.674
69	30.98
70	31.284
71	31.586
72	31.887
73	32.185
74	32.481
75	32.775
76	33.067
77	33.357
78	33.645
79	33.932
80	34.216
81	34.498
82	34.779
83	35.057
84	35.334
85	35.609
86	35.882
87	36.153
88	36.423
89	36.69
90	36.956
91	37.22
92	37.482
93	37.742
94	38.001
95	38.258
96	38.513
97	38.766
98	39.018
99	39.268
100	39.516
