time	Temp
0	5.1308
1	5.4024
2	6.2528
3	7.2208
4	8.1811
5	9.106
6	9.9905
7	10.836
8	11.646
9	12.423
10	13.171
11	13.893
12	14.59
13	15.267
14	15.923
15	16.562
16	17.185
17	17.793
18	18.388
19	18.971
20	19.542
21	20.103
22	20.655
23	21.198
24	21.733
25	22.26
26	22.781
27	23.295
28	23.803
29	24.305
30	24.802
31	25.294
32	25.781
33	26.264
34	26.742
35	27.216
36	27.687
37	28.154
38	28.617
39	29.077
40	29.533
41	29.987
42	30.437
43	30.884
44	31.328
45	31.77
46	32.208
47	32.644
48	33.078
49	33.508
50	33.936
51	34.362
52	34.785
53	35.206
54	35.624
55	36.04
56	36.454
57	36.865
58	37.274
59	37.68
60	38.085
61	38.487
62	38.887
63	39.285
64	39.681
65	40.074
66	40.466
67	40.855
68	41.242
69	41.628
70	42.011
71	42.392
72	42.771
73	43.148
74	43.523
75	43.896
76	44.267
77	44.636
78	45.003
79	45.368
80	45.731
81	46.092
82	46.452
83	46.809
84	47.165
85	47.519
86	47.87
87	48.22
88	48.568
89	48.915
90	49.259
91	49.602
92	49.943
93	50.282
94	50.619
95	50.954
96	51.288
97	51.62
98	51.95
99	52.278
100	52.605
