time	Temp
0	26.75
1	26.751
2	26.751
3	26.754
4	26.768
5	26.797
6	26.846
7	26.915
8	27.004
9	27.11
10	27.233
11	27.372
12	27.523
13	27.687
14	27.862
15	28.046
16	28.239
17	28.439
18	28.645
19	28.858
20	29.075
21	29.297
22	29.523
23	29.752
24	29.984
25	30.218
26	30.454
27	30.692
28	30.931
29	31.171
30	31.412
31	31.653
32	31.895
33	32.138
34	32.38
35	32.622
36	32.865
37	33.106
38	33.348
39	33.589
40	33.83
41	34.069
42	34.309
43	34.547
44	34.785
45	35.022
46	35.258
47	35.494
48	35.728
49	35.961
50	36.194
51	36.425
52	36.656
53	36.886
54	37.114
55	37.342
56	37.568
57	37.794
58	38.018
59	38.242
60	38.464
61	38.686
62	38.906
63	39.125
64	39.344
65	39.561
66	39.777
67	39.992
68	40.206
69	40.419
70	40.631
71	40.842
72	41.052
73	41.261
74	41.469
75	41.675
76	41.881
77	42.086
78	42.29
79	42.493
80	42.694
81	42.895
82	43.095
83	43.294
84	43.491
85	43.688
86	43.884
87	44.079
88	44.273
89	44.466
90	44.658
91	44.849
92	45.039
93	45.228
94	45.416
95	45.603
96	45.789
97	45.975
98	46.159
99	46.343
100	46.525
