time	Temp
0	10.74
1	10.742
2	10.743
3	10.749
4	10.769
5	10.806
6	10.86
7	10.929
8	11.011
9	11.105
10	11.209
11	11.321
12	11.441
13	11.567
14	11.698
15	11.834
16	11.974
17	12.117
18	12.264
19	12.412
20	12.563
21	12.716
22	12.871
23	13.026
24	13.183
25	13.34
26	13.498
27	13.656
28	13.814
29	13.973
30	14.132
31	14.29
32	14.449
33	14.607
34	14.765
35	14.922
36	15.079
37	15.236
38	15.391
39	15.547
40	15.701
41	15.855
42	16.009
43	16.161
44	16.313
45	16.464
46	16.615
47	16.764
48	16.913
49	17.061
50	17.209
51	17.355
52	17.501
53	17.646
54	17.79
55	17.933
56	18.075
57	18.217
58	18.358
59	18.498
60	18.637
61	18.775
62	18.913
63	19.05
64	19.186
65	19.321
66	19.455
67	19.589
68	19.721
69	19.853
70	19.985
71	20.115
72	20.245
73	20.373
74	20.502
75	20.629
76	20.755
77	20.881
78	21.006
79	21.13
80	21.254
81	21.377
82	21.499
83	21.62
84	21.741
85	21.861
86	21.98
87	22.098
88	22.216
89	22.333
90	22.449
91	22.565
92	22.68
93	22.794
94	22.907
95	23.02
96	23.132
97	23.244
98	23.354
99	23.465
100	23.574
