time	Temp
0	30.229
1	30.229
2	30.229
3	30.23
4	30.238
5	30.262
6	30.313
7	30.399
8	30.523
9	30.687
10	30.891
11	31.133
12	31.41
13	31.719
14	32.058
15	32.424
16	32.814
17	33.225
18	33.655
19	34.102
20	34.564
21	35.038
22	35.523
23	36.018
24	36.521
25	37.032
26	37.548
27	38.07
28	38.596
29	39.125
30	39.657
31	40.191
32	40.726
33	41.263
34	41.801
35	42.338
36	42.876
37	43.413
38	43.95
39	44.486
40	45.02
41	45.554
42	46.086
43	46.616
44	47.145
45	47.672
46	48.197
47	48.719
48	49.24
49	49.759
50	50.275
51	50.789
52	51.301
53	51.81
54	52.317
55	52.822
56	53.324
57	53.823
58	54.32
59	54.815
60	55.307
61	55.796
62	56.283
63	56.768
64	57.25
65	57.729
66	58.206
67	58.68
68	59.152
69	59.622
70	60.088
71	60.553
72	61.014
73	61.474
74	61.931
75	62.385
76	62.837
77	63.286
78	63.733
79	64.178
80	64.62
81	65.06
82	65.497
83	65.932
84	66.365
85	66.795
86	67.223
87	67.649
88	68.072
89	68.493
90	68.911
91	69.328
92	69.742
93	70.153
94	70.563
95	70.97
96	71.375
97	71.778
98	72.179
99	72.577
100	72.973
