time	Temp
0	23.044
1	23.044
2	23.044
3	23.044
4	23.045
5	23.051
6	23.064
7	23.089
8	23.127
9	23.18
10	23.248
11	23.331
12	23.429
13	23.541
14	23.666
15	23.802
16	23.95
17	24.108
18	24.275
19	24.451
20	24.634
21	24.824
22	25.02
23	25.223
24	25.43
25	25.642
26	25.859
27	26.079
28	26.303
29	26.53
30	26.76
31	26.992
32	27.227
33	27.464
34	27.703
35	27.944
36	28.186
37	28.429
38	28.674
39	28.92
40	29.167
41	29.415
42	29.664
43	29.914
44	30.164
45	30.415
46	30.667
47	30.919
48	31.171
49	31.424
50	31.678
51	31.931
52	32.185
53	32.439
54	32.694
55	32.948
56	33.203
57	33.458
58	33.713
59	33.968
60	34.224
61	34.479
62	34.735
63	34.99
64	35.246
65	35.502
66	35.758
67	36.013
68	36.269
69	36.525
70	36.781
71	37.037
72	37.293
73	37.549
74	37.805
75	38.061
76	38.317
77	38.573
78	38.829
79	39.085
80	39.34
81	39.596
82	39.852
83	40.108
84	40.364
85	40.62
86	40.875
87	41.131
88	41.387
89	41.643
90	41.898
91	42.154
92	42.41
93	42.665
94	42.921
95	43.176
96	43.432
97	43.687
98	43.943
99	44.198
100	44.453
